"","protein","X60_1","X60_2","X60_3","X60_4","X100_1","X100_2","X100_3","X100_4","X200_1","X200_2","X200_3","X200_4","X300_1","X300_2","X300_3","X300_4","X1000_1","X1000_2","X1000_3","X1000_4"
"1087","slr1511",416184.7578453,1194993.825701,1056397.519648,1174952.245563,848702.347473,932306.863328,739492.9361987,556485.057077,1363182.925417,1813770.552069,1513573.251959,1902507.752409,1360005.365389,1621230.069014,1907664.116115,1652061.548789,2592636.045816,1780421.164805,2564850.089787,2420640.262091
"1088","slr1516",29977237.5395947,7727768.93125806,8411969.29067707,5886184.01778603,35724157.9617408,8288838.59360915,40293098.0966363,1721877.41015534,5775648.34883103,4170785.77059525,5965074.78427442,2649746.07100038,7750424.27973568,4572887.62687424,5160993.58034203,7060256.86329766,5893206.84022809,15222607.7531819,22752293.0249354,11030945.0159232
"1089","slr1517",8081424.48284157,10291659.8335595,8238636.94892713,8383583.58501543,9267676.13979342,7514470.86807266,6692862.1471697,2929485.68336014,5120471.8977879,3714814.38178994,6123681.4052103,4689079.66554846,4744952.21453497,4358890.75497227,4917638.97277652,4467821.72342782,2693270.78815212,2654416.36679556,4317503.53998314,2040338.65615232
"1090","slr1521",204128.941376,163077.706918,248366.71974,127620.373629,774694.751449,287387.633561,311173.210394,97167.5737012,109905.96316,53561.9355402,135506.470195,599752.054109,287182.089155,232000.279681,426605.585487,462041.498481,593776.739714,535759.858339,81095.7756389,618170.092695
"1091","slr1531",1802511.59619162,1965718.27717797,1462073.35227832,1566641.87168934,1605937.40039326,1322435.26044319,1384032.04058773,1762123.44723875,1287668.96325912,968034.220855668,1168155.36995522,907855.280050907,1447678.9617877,1008527.74167249,764802.917120442,1038990.60440942,639850.235624272,611790.540930973,785369.599880019,555626.67639393
"1092","slr1533",2769825.932137,3673825.32532,1674037.054363,2754623.913469,2136884.185985,2414536.034411,1800102.368912,1791621.140944,3752184.117704,3504626.942504,3697702.73456,3404178.459246,4010947.90477,3587257.255052,4044381.91536,3766176.30771,4548237.422369,6343683.61866,4386882.544811,5091366.968616
"1093","slr1534",677833.177675,120107.848909,162725.938737,126408.258584,473990.874629,69181.2662269,369295.120042,296051.142809,120036.339601,123906.044486,89942.905273,117898.238306,90816.2365117,165255.259205,99100.3164684,122432.563902,149146.281003,168441.913593,222756.645475,204984.690432
"1094","slr1535",1660697.1309,1304097.12095,36058.3035182,1201656.18673,676836.272335,598233.583207,583419.982902,72319.4326449,1306497.13652,1231484.54966,1365742.37684,1716590.84858,271077.376645,239399.449818,153612.038366,69216.6417364,189658.627318,315105.535113,375594.039811,514920.854953
"1095","slr1537",1221456.54738,1473572.24387,1039486.63591,1218367.79619,819110.697707,1065437.96542,672357.382968,616797.759861,1307935.3841,1803734.97421,1209541.9569,1705069.21958,914804.876682,1802058.86978,1514774.98368,1132143.48355,1380526.49737,948736.143585,3068150.11531,1020021.2243
"1096","slr1540",902250.62135,2104793.02672,1106998.06318,2216098.61123,1685178.84283,184493.308214,377235.223429,806252.522424,457516.401964,487099.148507,1514423.84551,434168.706703,621838.824115,353085.068941,337890.942201,364062.676699,316018.465241,337238.231464,255816.082168,1238576.5878
"1097","slr1541",3521853.14756,2674952.1043,3745974.46869,3480450.97445,1581623.99895,2969828.85015,2483461.55076,322721.265625,247884.172574,239186.612676,2353106.68249,775889.673787,1710599.10208,767033.712626,780792.633518,750412.51545,421503.206443,215478.79809,193511.012043,320525.967399
