,protein,X60,X100,X200,X300,X1000
912,sll1507,301827.,336961.,375286.,361595.,789465.
913,slr0058,3744706,4124953,3560741,3865201,2301232
914,sll1021,1096390,1304950,1322566,776190.,845680.
915,sll0910,179439.,902157.,661096.,832723.,457860.
916,slr0645,976845.,1349883,621006.,407698.,451122.
917,sll1931,8355479,8503801,9338527,8756991,5166953
918,slr1272,120898.,211771.,76887.1,99476.4,190734.
919,slr1474,158366.,144582.,157181.,131619.,222707.
920,slr5023,1273904,1289272,846994.,686395.,483974.
921,slr0582,306554.,187694.,172820.,109515.,215435.
922,ssr1041,2454644,9121844,3527078,6817205,5861024
923,slr0066,164069.,211281.,161787.,108216.,183735.
924,sll1524,3641433,2084455,2822972,2821546,619939.
925,sll0033,1366584,992727.,1439544,1136584,508571.
926,slr1110,595675.,539125.,317575.,382050.,327304.
927,sll0517,477029.,801114.,1198678,2372614,995822.
928,sll0163,387015.,209508.,243518.,181779.,445782.
929,slr1566,190733.,294787.,416560.,441626.,322393.
930,sll1234,1247988,1483437,5888963,8676842,4492539
931,slr0110,3237704,3425900,4192380,4980494,4016828
932,sll1679,1849863,1569888,1556868,1545721,1258516
933,slr1729,277664.,203982.,220851.,165779.,642629.
934,ssl2138,482631.,1160426,666476.,888591.,652204.
935,slr0603,364309.,299571.,191941.,198416.,214666.
936,sll1316,1559171,2428433,3024439,3606842,3535332
937,ssl3829,247633.,78213.6,250715.,198552.,368982.
938,slr0116,596951.,498299.,1127084,846064.,747873.
939,slr1772,1884730,1458986,1908243,1658026,1623287
